customerID,RiskScore,RiskTier,tenure,MonthlyCharges,Contract,InternetService,PaymentMethod
4706-DGAHW,6,call this week,1,45.2,Month-to-month,DSL,Electronic check
2792-LSHWX,6,call this week,1,83.4,Month-to-month,Fiber optic,Mailed check
2468-SJFLM,6,call this week,1,74.3,Month-to-month,Fiber optic,Mailed check
9617-INGJY,6,call this week,1,70.6,Month-to-month,Fiber optic,Mailed check
2254-DLXRI,6,call this week,1,79.15,Month-to-month,Fiber optic,Mailed check
6185-TASNN,6,call this week,1,46.3,Month-to-month,DSL,Electronic check
8720-RQSBJ,6,call this week,1,44,Month-to-month,DSL,Electronic check
2920-RNCEZ,6,call this week,1,69.95,Month-to-month,Fiber optic,Credit card (automatic)
5032-MIYKT,6,call this week,1,70.7,Month-to-month,Fiber optic,Mailed check
1928-BXYIV,6,call this week,1,61.15,Month-to-month,DSL,Electronic check
1746-TGTWV,6,call this week,1,75.35,Month-to-month,Fiber optic,Credit card (automatic)
0224-RLWWD,6,call this week,2,44.3,Month-to-month,DSL,Electronic check
3234-VKACU,6,call this week,2,70.3,Month-to-month,DSL,Electronic check
3717-OEAUQ,6,call this week,2,70.7,Month-to-month,Fiber optic,Mailed check
4137-BTIKL,6,call this week,2,90.75,Month-to-month,Fiber optic,Mailed check
3995-WFCSM,6,call this week,2,60.85,Month-to-month,DSL,Electronic check
9137-NOQKA,6,call this week,2,19.2,Month-to-month,No,Electronic check
3130-ICDUP,6,call this week,2,80.55,Month-to-month,Fiber optic,Credit card (automatic)
4450-DLLMH,6,call this week,2,71.3,Month-to-month,Fiber optic,Credit card (automatic)
5600-KTXFM,6,call this week,2,69.95,Month-to-month,Fiber optic,Mailed check
2905-KFQUV,6,call this week,2,70.4,Month-to-month,Fiber optic,Credit card (automatic)
6856-RAURS,6,call this week,2,74.9,Month-to-month,Fiber optic,Mailed check
3798-EPWRR,6,call this week,2,43.95,Month-to-month,DSL,Electronic check
5122-CYFXA,6,call this week,3,75.3,Month-to-month,DSL,Electronic check
2800-VEQXM,6,call this week,3,74.75,Month-to-month,Fiber optic,Mailed check
5760-IFJOZ,6,call this week,3,107.95,Month-to-month,Fiber optic,Mailed check
0411-EZJZE,6,call this week,3,60.25,Month-to-month,DSL,Electronic check
3916-NRPAP,6,call this week,3,85.7,Month-to-month,Fiber optic,Credit card (automatic)
5356-CSVSQ,6,call this week,3,64.6,Month-to-month,DSL,Electronic check
8543-MSDMF,6,call this week,3,77.4,Month-to-month,DSL,Electronic check
1212-GLHMD,6,call this week,3,86.05,Month-to-month,Fiber optic,Mailed check
8617-ENBDS,6,call this week,3,73.6,Month-to-month,Fiber optic,Credit card (automatic)
0432-CAJZV,6,call this week,3,90.7,Month-to-month,Fiber optic,Mailed check
0641-EVBOJ,6,call this week,3,82.3,Month-to-month,Fiber optic,Mailed check
4029-HPFVY,6,call this week,3,70.3,Month-to-month,Fiber optic,Mailed check
1078-TDCRN,6,call this week,3,30.75,Month-to-month,DSL,Electronic check
4983-CCWMC,6,call this week,3,69.6,Month-to-month,Fiber optic,Mailed check
7952-OBOYL,6,call this week,3,89.85,Month-to-month,Fiber optic,Mailed check
9398-MMQTO,6,call this week,3,74.45,Month-to-month,Fiber optic,Credit card (automatic)
8120-JDCAM,6,call this week,4,69.55,Month-to-month,Fiber optic,Mailed check
8714-CTZJW,6,call this week,4,82.85,Month-to-month,Fiber optic,Credit card (automatic)
2674-MIAHT,6,call this week,4,80.3,Month-to-month,Fiber optic,Mailed check
0928-JMXNP,6,call this week,4,29.9,Month-to-month,DSL,Electronic check
4132-KALRO,6,call this week,4,100.85,Month-to-month,Fiber optic,Mailed check
8404-GFGCZ,6,call this week,4,65.6,Month-to-month,DSL,Electronic check
8313-KTIHG,6,call this week,4,61.3,Month-to-month,DSL,Electronic check
9714-EDSUC,6,call this week,4,94.9,Month-to-month,Fiber optic,Mailed check
3855-ONCAR,6,call this week,4,78.9,Month-to-month,Fiber optic,Mailed check
7905-TVXTA,6,call this week,5,64.35,Month-to-month,DSL,Electronic check
2135-DQWAQ,6,call this week,5,85.3,Month-to-month,Fiber optic,Mailed check
2041-JIJCI,6,call this week,5,64,Month-to-month,DSL,Electronic check
6175-IRFIT,6,call this week,5,78.75,Month-to-month,Fiber optic,Mailed check
6034-YMTOB,6,call this week,5,75.65,Month-to-month,Fiber optic,Mailed check
9389-ACWBI,6,call this week,5,69.95,Month-to-month,Fiber optic,Credit card (automatic)
9696-RMYBA,6,call this week,5,80.1,Month-to-month,Fiber optic,Mailed check
8212-DJRCH,6,call this week,5,90.35,Month-to-month,Fiber optic,Mailed check
9620-ENEJV,6,call this week,6,70.55,Month-to-month,Fiber optic,Credit card (automatic)
6137-NICCO,6,call this week,6,94.05,Month-to-month,Fiber optic,Mailed check
9741-YLNTD,6,call this week,6,87.95,Month-to-month,Fiber optic,Bank transfer (automatic)
8132-YPVBX,6,call this week,6,85.95,Month-to-month,Fiber optic,Mailed check
8873-GLDMH,6,call this week,6,73.85,Month-to-month,Fiber optic,Mailed check
2235-DWLJU,6,call this week,6,44.4,Month-to-month,DSL,Electronic check
5605-IYGFG,6,call this week,7,69.85,Month-to-month,Fiber optic,Bank transfer (automatic)
4431-EDMIQ,6,call this week,7,75.7,Month-to-month,DSL,Electronic check
4059-IIEBK,6,call this week,7,78.55,Month-to-month,Fiber optic,Bank transfer (automatic)
2272-UOINI,6,call this week,7,78.5,Month-to-month,DSL,Electronic check
8160-HOWOX,6,call this week,7,66.85,Month-to-month,DSL,Electronic check
0015-UOCOJ,6,call this week,7,48.2,Month-to-month,DSL,Electronic check
0567-GGCAC,6,call this week,7,61.4,Month-to-month,DSL,Electronic check
5533-NHFRF,6,call this week,7,44.4,Month-to-month,DSL,Electronic check
0958-YHXGP,6,call this week,7,69.9,Month-to-month,Fiber optic,Mailed check
8993-IZEUX,6,call this week,7,69.15,Month-to-month,Fiber optic,Bank transfer (automatic)
5044-LRQAQ,6,call this week,7,69.2,Month-to-month,Fiber optic,Bank transfer (automatic)
4343-EJVQB,6,call this week,7,74.35,Month-to-month,Fiber optic,Mailed check
3780-YVMFA,6,call this week,8,68.55,Month-to-month,DSL,Electronic check
6496-JDSSB,6,call this week,8,80,Month-to-month,Fiber optic,Bank transfer (automatic)
9489-UTFKA,6,call this week,8,60.9,Month-to-month,DSL,Bank transfer (automatic)
1907-YLNYW,6,call this week,8,66.7,Month-to-month,DSL,Electronic check
2373-NTKOD,6,call this week,8,66.25,Month-to-month,DSL,Electronic check
5405-ZMYXQ,6,call this week,8,74.6,Month-to-month,Fiber optic,Credit card (automatic)
7967-HYCDE,6,call this week,8,70.7,Month-to-month,Fiber optic,Bank transfer (automatic)
1465-LNTLJ,6,call this week,8,64.4,Month-to-month,DSL,Credit card (automatic)
7994-UYIVZ,6,call this week,8,85.65,Month-to-month,Fiber optic,Bank transfer (automatic)
1849-RJYIG,6,call this week,8,60,Month-to-month,DSL,Electronic check
9552-TGUZV,6,call this week,8,75,Month-to-month,Fiber optic,Mailed check
4226-KKDON,6,call this week,8,66.65,Month-to-month,DSL,Electronic check
5568-DMXZS,6,call this week,8,65.45,Month-to-month,DSL,Electronic check
4445-ZJNMU,6,call this week,9,99.3,Month-to-month,Fiber optic,Credit card (automatic)
7426-RHZGU,6,call this week,9,95.9,Month-to-month,Fiber optic,Bank transfer (automatic)
0196-JTUQI,6,call this week,9,75.2,Month-to-month,Fiber optic,Credit card (automatic)
5141-ZUVBH,6,call this week,9,93,Month-to-month,Fiber optic,Bank transfer (automatic)
4633-MKHYU,6,call this week,9,88.4,Month-to-month,Fiber optic,Mailed check
2252-ISRNH,6,call this week,9,90.35,One year,Fiber optic,Electronic check
5895-QSXOD,6,call this week,9,70.05,Month-to-month,Fiber optic,Mailed check
2959-FENLU,6,call this week,9,85.3,Month-to-month,Fiber optic,Credit card (automatic)
9547-ITEFG,6,call this week,9,102.6,Month-to-month,Fiber optic,Credit card (automatic)
7410-OIEDU,6,call this week,10,79.85,Month-to-month,Fiber optic,Mailed check
5183-SNMJQ,6,call this week,10,95.1,Month-to-month,Fiber optic,Credit card (automatic)
9272-LSVYH,6,call this week,10,70.15,Month-to-month,Fiber optic,Mailed check
5652-MSDEY,6,call this week,10,75.75,Month-to-month,Fiber optic,Mailed check
5606-AMZBO,6,call this week,10,78.15,Month-to-month,Fiber optic,Credit card (automatic)
